20181006, 1800,  , LO, 17.8N,  86.6W,  25, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 0000,  , LO, 18.1N,  86.9W,  25, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 0600,  , TD, 18.4N,  86.8W,  30, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 1200,  , TS, 18.8N,  86.4W,  35, 1003,  120,  180,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 1800,  , TS, 19.1N,  85.7W,  45,  999,  120,  180,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181008, 0000,  , TS, 19.7N,  85.5W,  50,  996,  120,  150,   90,   90,   40,    0,    0,    0,    0,    0,    0,    0,
20181008, 0600,  , TS, 20.2N,  85.4W,  60,  984,  120,  150,   90,   90,   80,   80,    0,   50,    0,    0,    0,    0,
20181008, 1200,  , HU, 20.9N,  85.1W,  65,  982,  120,  150,   90,   90,   70,   50,   20,   50,   25,    0,    0,    0,
20181008, 1800,  , HU, 21.7N,  85.1W,  75,  977,  120,  150,   80,   90,   60,   50,   20,   50,   30,    0,    0,   25,
20181009, 0000,  , HU, 22.7N,  85.2W,  85,  971,  150,  150,   80,  110,   60,   50,   30,   50,   30,   30,   25,   30,
20181009, 0600,  , HU, 23.7N,  85.8W,  85,  973,  170,  140,   70,  140,   70,   50,   30,   50,   35,   30,   20,   30,
20181009, 1200,  , HU, 24.6N,  86.2W,  90,  968,  160,  140,   70,  140,   70,   50,   30,   50,   30,   30,   20,   30,
20181009, 1800,  , HU, 25.6N,  86.4W, 100,  961,  160,  140,   70,  140,   70,   50,   30,   50,   40,   30,   20,   30,
20181010, 0000,  , HU, 26.6N,  86.5W, 110,  952,  160,  140,   70,  140,   70,   60,   30,   50,   40,   30,   20,   30,
20181010, 0600,  , HU, 27.7N,  86.6W, 120,  945,  160,  140,   70,  140,   80,   80,   30,   50,   40,   30,   20,   30,
20181010, 1200,  , HU, 29.0N,  86.3W, 125,  934,  150,  140,   80,  120,   80,   80,   40,   50,   40,   35,   25,   30,
20181010, 1730, L, HU, 30.0N,  85.5W, 140,  919,   90,  140,  100,   80,   60,   80,   50,   50,   35,   35,   25,   25,
20181010, 1800,  , HU, 30.2N,  85.4W, 135,  920,   90,  140,  100,   80,   60,   80,   50,   50,   35,   35,   25,   25,
20181011, 0000,  , HU, 31.5N,  84.5W,  80,  957,   60,  140,   60,   40,   40,   40,   30,   20,   25,   25,    0,    0,
20181011, 0600,  , TS, 32.8N,  83.2W,  50,  979,   50,  140,   50,    0,    0,   20,    0,    0,    0,    0,    0,    0,
20181011, 1200,  , TS, 34.1N,  81.7W,  45,  987,    0,  160,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181011, 1800,  , TS, 35.6N,  80.0W,  45,  991,    0,  200,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
