20181006, 1800,  , LO, 17.8N,  86.6W,21.75, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 0000,  , LO, 18.1N,  86.9W,21.75, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 0600,  , TD, 18.4N,  86.8W,26.1, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 1200,  , TS, 18.8N,  86.4W,30.45, 1003,  120,  180,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181007, 1800,  , TS, 19.1N,  85.7W,39.15,  999,  120,  180,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181008, 0000,  , TS, 19.7N,  85.5W,43.5,  996,  120,  150,   90,   90,   40,    0,    0,    0,    0,    0,    0,    0,
20181008, 0600,  , TS, 20.2N,  85.4W,52.2,  984,  120,  150,   90,   90,   80,   80,    0,   50,    0,    0,    0,    0,
20181008, 1200,  , HU, 20.9N,  85.1W,56.55,  982,  120,  150,   90,   90,   70,   50,   20,   50,   25,    0,    0,    0,
20181008, 1800,  , HU, 21.7N,  85.1W,65.25,  977,  120,  150,   80,   90,   60,   50,   20,   50,   30,    0,    0,   25,
20181009, 0000,  , HU, 22.7N,  85.2W,73.95,  971,  150,  150,   80,  110,   60,   50,   30,   50,   30,   30,   25,   30,
20181009, 0600,  , HU, 23.7N,  85.8W,73.95,  973,  170,  140,   70,  140,   70,   50,   30,   50,   35,   30,   20,   30,
20181009, 1200,  , HU, 24.6N,  86.2W,78.3,  968,  160,  140,   70,  140,   70,   50,   30,   50,   30,   30,   20,   30,
20181009, 1800,  , HU, 25.6N,  86.4W,87.0,  961,  160,  140,   70,  140,   70,   50,   30,   50,   40,   30,   20,   30,
20181010, 0000,  , HU, 26.6N,  86.5W,95.7,  952,  160,  140,   70,  140,   70,   60,   30,   50,   40,   30,   20,   30,
20181010, 0600,  , HU, 27.7N,  86.6W,104.4,  945,  160,  140,   70,  140,   80,   80,   30,   50,   40,   30,   20,   30,
20181010, 1200,  , HU, 29.0N,  86.3W,108.75,  934,  150,  140,   80,  120,   80,   80,   40,   50,   40,   35,   25,   30,
20181010, 1800,  , HU, 30.2N,  85.4W,117.45,  920,   90,  140,  100,   80,   60,   80,   50,   50,   35,   35,   25,   25,
20181011, 0000,  , HU, 31.5N,  84.5W,69.6,  957,   60,  140,   60,   40,   40,   40,   30,   20,   25,   25,    0,    0,
20181011, 0600,  , TS, 32.8N,  83.2W,43.5,  979,   50,  140,   50,    0,    0,   20,    0,    0,    0,    0,    0,    0,
20181011, 1200,  , TS, 34.1N,  81.7W,39.15,  987,    0,  160,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181011, 1800,  , TS, 35.6N,  80.0W,39.15,  991,    0,  200,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20181012, 0000,  , EX, 36.5N,  77.7W,43.5,  988,   90,  240,    0,   60,    0,  120,    0,    0,    0,    0,    0,    0,
20181012, 0600,  , EX, 37.3N,  75.0W,52.2,  983,   90,  240,   80,   80,    0,   50,   50,   50,    0,    0,    0,    0,
20181012, 1200,  , EX, 39.1N,  70.6W,52.2,  980,   90,  240,   80,   60,    0,   50,   50,    0,    0,    0,    0,    0,
20181012, 1800,  , EX, 41.1N,  66.1W,52.2,  977,   90,  320,  230,   60,    0,   90,   90,    0,    0,    0,    0,    0,
20181013, 0000,  , EX, 43.1N,  61.5W,56.55,  975,   90,  400,  380,   60,    0,  220,  220,    0,    0,  180,    0,    0,
20181013, 0600,  , EX, 44.8N,  55.7W,56.55,  975,   90,  400,  380,   60,    0,  220,  220,    0,    0,  180,    0,    0,
20181013, 1200,  , EX, 46.4N,  48.2W,56.55,  975,  120,  400,  380,   60,    0,  220,  220,    0,    0,  180,    0,    0,
20181013, 1800,  , EX, 47.6N,  40.7W,56.55,  975,  120,  400,  380,   60,    0,  220,  220,    0,    0,  180,    0,    0,
20181014, 0000,  , EX, 48.4N,  33.1W,56.55,  975,  120,  400,  380,  100,    0,  220,  220,   60,    0,  180,    0,    0,
20181014, 0600,  , EX, 48.8N,  26.1W,56.55,  975,  120,  400,  380,  150,    0,  220,  220,   90,    0,  180,    0,    0,
20181014, 1200,  , EX, 48.6N,  20.7W,52.2,  975,  170,  340,  340,  220,  120,  150,  150,  120,    0,    0,    0,    0,
20181014, 1800,  , EX, 47.5N,  16.4W,47.85,  978,  170,  340,  340,  220,  120,  100,  100,  120,    0,    0,    0,    0,
20181015, 0000,  , EX, 45.9N,  13.5W,47.85,  982,  140,  320,  320,  170,  100,    0,  120,  120,    0,    0,    0,    0,
20181015, 0600,  , EX, 44.4N,  11.4W,43.5,  989,  140,  320,  320,  170,    0,  100,  100,    0,    0,    0,    0,    0,
20181015, 1200,  , EX, 42.8N,  10.3W,30.45,  996,    0,  200,    0,  170,    0,    0,    0,    0,    0,    0,    0,    0,
20181015, 1800,  , EX, 41.2N,  10.0W,30.45, 1001,    0,  200,    0,  170,    0,    0,    0,    0,    0,    0,    0,    0,
