[,agent,decisionmodulefrequency,riskforecast,riskorders,riskenv,finalriskassessment,risksurge,percentevacuatedcoastal64,]
[, 69 , 1 , 17.043495192070438 , 0.21500110445720894 , 0 , 17.258496296527646 , 0 , 1 ,]
[, 43 , 22 , -0.44697405005367397 , 0 , 0 , -0.44697405005367397 , 0 , 1 ,]
[, 42 , 2 , 16.02026637350825 , 2.044243848772209 , 0 , 18.064510222280457 , 0 , 1 ,]
[, 91 , 3 , 11.949301882019395 , 1.6837021946310604 , 0 , 13.633004076650455 , 0 , 1 ,]
[, 86 , 1 , 3.712553798943999 , 0.4868570189614918 , 0 , 4.199410817905491 , 0 , 1 ,]
[, 39 , 2 , 0.04457317391660736 , 0.6003462243484944 , 0 , 0.6449193982651017 , 0 , 1 ,]
[, 96 , 1 , 6.482200960761471 , 0 , 0 , 6.482200960761471 , 0 , 1 ,]
[, 99 , 1 , 6.348112010169961 , 0.803534899528505 , 0 , 7.151646909698466 , 0 , 1 ,]
[, 94 , 1 , 3.373702512084599 , 0.5400694248140099 , 0 , 3.913771936898609 , 0 , 1 ,]
[, 40 , 24 , 0.4717561715066303 , 1.2377764473535935 , 0 , 1.7095326188602238 , 0 , 1 ,]
[, 89 , 1 , 7.137824655363957 , 0.7856337783784971 , 3 , 10.923458433742454 , 0 , 1 ,]
[, 50 , 16 , 3.416325146645881 , 1.2551840681044726 , 0 , 4.671509214750353 , 0 , 1 ,]
[, 92 , 7 , 12.920973133482658 , 1.191539515520038 , 0 , 14.112512649002696 , 0 , 1 ,]
[, 41 , 4 , 7.500110744840985 , 0 , 0 , 7.500110744840985 , 0 , 1 ,]
[, 95 , 1 , 15.13653086084143 , 1.6742398207562463 , 0 , 16.810770681597678 , 0 , 1 ,]
[, 97 , 7 , 5.503556727966104 , 0.17604648958883837 , 0 , 5.679603217554942 , 0 , 1 ,]
[, 75 , 22 , -0.6429212198597264 , 0.45344786532136305 , 0 , -0.18947335453836334 , 0 , 1 ,]
[, 81 , 4 , 13.124821070684881 , 1.754721822796802 , 0 , 14.879542893481682 , 0 , 1 ,]
[, 57 , 1 , 7.118051124689453 , 1.36619030656376 , 0 , 8.484241431253214 , 0 , 1 ,]
[, 73 , 1 , 14.943919837833578 , 0.8732235002431628 , 0 , 15.81714333807674 , 0 , 1 ,]
[, 45 , 1 , 6.049909963939973 , 0.800175966584259 , 0 , 6.850085930524232 , 0 , 1 ,]
[, 87 , 13 , 14.272130465858305 , 2.4458693813619345 , 0 , 16.71799984722024 , 0 , 1 ,]
[, 53 , 3 , 6.8109162832038 , 1.1789623960091897 , 0 , 7.989878679212989 , 0 , 1 ,]
[, 68 , 3 , 9.30337066690374 , 0.33605719034987497 , 0 , 9.639427857253615 , 0 , 1 ,]
[, 98 , 1 , 2.349138230976531 , 0 , 3 , 5.349138230976531 , 0 , 1 ,]
[, 76 , 1 , 7.478613596723419 , 2.116749403853645 , 0 , 9.595363000577064 , 0 , 1 ,]
[, 38 , 10 , 11.229274526793494 , 1.1257208330265256 , 0 , 12.35499535982002 , 0 , 1 ,]
[, 48 , 2 , 18.091747402572345 , 0.02338582212770098 , 0 , 18.115133224700045 , 0 , 1 ,]
[, 63 , 1 , 9.282688852355259 , 0.7180027057816413 , 0 , 10.0006915581369 , 0 , 1 ,]
[, 101 , 4 , 12.855121451802464 , 1.9800251469531895 , 0 , 14.835146598755653 , 0 , 1 ,]
[, 64 , 2 , 17.571110768445656 , 0.6800159211601893 , 0 , 18.251126689605847 , 0 , 1 ,]
[, 59 , 1 , 5.402753851276363 , 0.55569289858641 , 0 , 5.958446749862773 , 0 , 1 ,]
[, 85 , 8 , 1.009473511267551 , 0.6353880552689244 , 0 , 1.6448615665364754 , 0 , 1 ,]
[, 88 , 2 , 3.8168999463922115 , 0 , 0 , 3.8168999463922115 , 0 , 1 ,]
[, 46 , 1 , 3.6061111505097303 , 0.5745679001298803 , 0 , 4.18067905063961 , 0 , 1 ,]
[, 84 , 2 , -0.25044300638310907 , 0.8954042467983047 , 0 , 0.6449612404151956 , 0 , 1 ,]
[, 71 , 4 , 0.10769418419337809 , 0.47448938695016535 , 0 , 0.5821835711435435 , 0 , 1 ,]
[, 77 , 1 , 5.996715853081157 , 0 , 0 , 5.996715853081157 , 0 , 1 ,]
[, 79 , 2 , 9.92256203226083 , 1.119039014937845 , 0 , 11.041601047198675 , 0 , 1 ,]
[, 82 , 1 , 7.019932806947717 , 0 , 0 , 7.019932806947717 , 0 , 1 ,]
[, 66 , 1 , 4.709849989593242 , 0.011952407627737588 , 0 , 4.72180239722098 , 0 , 1 ,]
[, 80 , 1 , 5.39517435529655 , 0 , 3 , 8.39517435529655 , 0 , 1 ,]
[, 51 , 16 , 13.694476677773064 , 0.02501264154570749 , 0 , 13.719489319318772 , 0 , 1 ,]
[, 52 , 3 , 11.679348748154478 , 2.0344937535925873 , 0 , 13.713842501747065 , 0 , 1 ,]
[, 90 , 11 , 17.03266020683822 , 1.3467019593569902 , 0 , 18.37936216619521 , 0 , 1 ,]
[, 83 , 1 , 17.743745462266585 , 1.4820340382725015 , 0 , 19.225779500539087 , 0 , 1 ,]
[, 44 , 1 , 8.097060127599857 , 0 , 0 , 8.097060127599857 , 0 , 1 ,]
[, 62 , 4 , 14.163192029854208 , 0 , 0 , 14.163192029854208 , 0 , 1 ,]
[, 60 , 1 , 1.9301988397483012 , 0.7615030600101312 , 0 , 2.6917018997584323 , 0 , 1 ,]
[, 72 , 12 , 17.131370793965957 , 1.523197312428562 , 0 , 18.654568106394517 , 0 , 1 ,]
[, 74 , 32 , -0.5606446893411237 , 0 , 0 , -0.5606446893411237 , 0 , 1 ,]
[, 67 , 1 , 14.564614810234294 , 1.3457488194805647 , 0 , 15.910363629714858 , 0 , 1 ,]
[, 54 , 12 , 3.3314532062336837 , 1.0369577583191145 , 0 , 4.368410964552798 , 0 , 1 ,]
[, 58 , 3 , 1.3266359554280014 , 0.42296018454308043 , 0 , 1.7495961399710818 , 0 , 1 ,]
[, 61 , 8 , 7.561740965446683 , 0 , 0 , 7.561740965446683 , 0 , 1 ,]
[, 56 , 4 , 16.294038940013987 , 1.3403695336330865 , 0 , 17.634408473647074 , 0 , 1 ,]
[, 55 , 11 , 8.30868658313162 , 0.17311085589027123 , 0 , 8.481797439021891 , 0 , 1 ,]
[, 93 , 1 , 14.509798155877826 , 2.243394135342537 , 0 , 16.753192291220362 , 0 , 1 ,]
[, 65 , 1 , 6.769977732294372 , 1.2091632941274304 , 0 , 7.979141026421802 , 0 , 1 ,]
[, 78 , 1 , 6.291511686791416 , 1.0782348016167331 , 0 , 7.369746488408149 , 0 , 1 ,]
[, 100 , 1 , 14.258853870998005 , 2.861416383877321 , 0 , 17.120270254875326 , 0 , 1 ,]
[, 47 , 13 , 18.16414188191781 , 0.13952259177881612 , 0 , 18.303664473696628 , 0 , 1 ,]
[, 49 , 12 , 14.757616208211608 , 1.2221918822499034 , 0 , 15.979808090461512 , 0 , 1 ,]
[, 70 , 2 , 1.5857626615874594 , 0.44395747972050903 , 0 , 2.029720141307968 , 0 , 1 ,]
